# Reading<TAB>acceptable first surface(s), separated by |. Evaluation only; never used for training.
ともだちにあう	友達に会う
せんせいにあう	先生に会う
ともだちとあう	友達と会う
ともだちにあった	友達に会った
さいずにあう	サイズに合う
きがあう	気が合う
めがあう	目が合う
ふくをきる	服を着る
きをきる	木を切る
かみにかく	紙に書く
てがみをかく	手紙を書く
はしをわたる	橋を渡る
はしでたべる	箸で食べる
あめがふる	雨が降る
あめをなめる	飴をなめる|飴を舐める
しゃしんをとる	写真を撮る
としをとる	歳を取る|年を取る|歳をとる|年をとる
はなをみる	花を見る
はながいたい	鼻が痛い
かぜをひく	風邪をひく|風邪を引く
かぜがふく	風が吹く
でんしゃにのる	電車に乗る
にもつをのせる	荷物を載せる
かわでおよぐ	川で泳ぐ
かわをむく	皮をむく|皮を剥く
ほんをよむ	本を読む
がっこうにいく	学校に行く
きょうはいいてんきです	今日はいい天気です|今日は良い天気です
よていをかえる	予定を変える
にほんご	日本語
いがいたい	胃が痛い
あたまがいたい	頭が痛い
はがいたい	歯が痛い
